Ledger Name,Under,Opening Balance,Opening Dr/Cr,GSTIN,State,City
Global Enterprises 0001,Sundry Debtors,0,Dr,03ATBYR4728J7ZA,Punjab,Coimbatore
Royal Distributors 0002,Sundry Creditors,68577.49,Dr,33ZMMTJ9483U5ZY,Tamil Nadu,Indore
Star Retail 0003,Sundry Creditors,32696.63,Dr,,Tamil Nadu,Coimbatore
Star Traders 0004,Sundry Creditors,0,Cr,33LLILE9352Z4ZZ,Tamil Nadu,Bengaluru
Orbit Traders 0005,Sundry Creditors,0,Dr,27GZQDI9655Y5ZT,Maharashtra,Bengaluru
Unity Exports 0006,Sundry Debtors,0,Cr,27EYBSV1955F9ZQ,Maharashtra,Kochi
Ganga Trading Co 0007,Sundry Creditors,0,Cr,,Kerala,Delhi
Shakti Exports 0008,Sundry Debtors,0,Dr,36NFMMR5173Q1ZJ,Telangana,Bhopal
Prime Marketing 0009,Sundry Debtors,0,Cr,08MJKEH9495N5ZI,Rajasthan,Kochi
Aditya Iyer 0010,Sundry Creditors,0,Cr,,Telangana,Pune
Sunrise Retail 0011,Sundry Creditors,0,Dr,,Telangana,Indore
Ishaan Bose 0012,Sundry Debtors,47877.01,Dr,24VUPJT8933G4ZF,Gujarat,Indore
Sneha Reddy 0013,Sundry Debtors,0,Cr,,Delhi,Delhi
Krishna Reddy 0014,Sundry Debtors,0,Dr,27PTVMR2397P9ZQ,Maharashtra,Nagpur
Royal Exports 0015,Sundry Debtors,0,Dr,03EARYF3430B4ZK,Punjab,Kochi
Shakti Traders 0016,Sundry Debtors,0,Cr,23FGEEG9891L3ZL,Madhya Pradesh,Jaipur
Ira Patel 0017,Sundry Debtors,0,Dr,29XKGVP3440H8ZB,Karnataka,Hyderabad
Apex Enterprises 0018,Sundry Debtors,0,Dr,19WVHFV3848U7Z5,West Bengal,Pune
Ishaan Mehta 0019,Sundry Creditors,18968.68,Dr,09AJTTW0377O4ZW,Uttar Pradesh,Ahmedabad
Amit Kumar 0020,Sundry Debtors,82164.17,Dr,,West Bengal,Hyderabad
Aarav Singh 0021,Sundry Creditors,71098.36,Dr,08QLZYK6598I7ZL,Rajasthan,Jaipur
Riya Verma 0022,Sundry Debtors,5866.49,Dr,36RHSDL9357D6ZZ,Telangana,Ahmedabad
Pioneer Trading Co 0023,Sundry Debtors,32798.03,Cr,,West Bengal,Ahmedabad
Aditya Gupta 0024,Sundry Debtors,84310.02,Dr,23QYCXF6938P9Z0,Madhya Pradesh,Nagpur
Sunrise Traders 0025,Sundry Creditors,0,Dr,,Karnataka,Lucknow
Neha Iyer 0026,Sundry Debtors,0,Dr,03EBXQS0259I7ZE,Punjab,Ahmedabad
Global Retail 0027,Sundry Debtors,19870.45,Cr,08SRBLP8273D5ZW,Rajasthan,Lucknow
Metro Solutions 0028,Sundry Debtors,69480.0,Dr,,Telangana,Nagpur
Diya Chowdhury 0029,Sundry Creditors,0,Dr,08AXMII9709V9Z5,Rajasthan,Kochi
Orbit Marketing 0030,Sundry Creditors,29916.15,Cr,29VEQAM3852G6ZI,Karnataka,Surat
Diya Joshi 0031,Sundry Creditors,0,Dr,32ALUMH3696W4ZS,Kerala,Nagpur
Myra Gupta 0032,Sundry Debtors,52904.41,Dr,27UHTXC2007R4Z5,Maharashtra,Bhopal
Everest Industries 0033,Sundry Debtors,39360.21,Dr,,Delhi,Ahmedabad
Deepak Singh 0034,Sundry Creditors,0,Dr,32MZMCU7811K6ZJ,Kerala,Jaipur
Reyansh Rao 0035,Sundry Debtors,0,Cr,33JLEVB6251J6ZN,Tamil Nadu,Kolkata
Reyansh Verma 0036,Sundry Creditors,29217.59,Dr,07YLXNH5351A9Z5,Delhi,Bhopal
Diya Singh 0037,Sundry Creditors,0,Cr,03GJLWB5759C2Z5,Punjab,Ahmedabad
Ananya Gupta 0038,Sundry Creditors,53640.14,Dr,,Gujarat,Surat
Everest Enterprises 0039,Sundry Debtors,58208.91,Cr,,Karnataka,Indore
Zenith Marketing 0040,Sundry Creditors,26153.21,Dr,,Madhya Pradesh,Nagpur
Nova Industries 0041,Sundry Debtors,0,Dr,19YRSNR7265I3ZX,West Bengal,Bengaluru
Prime Agencies 0042,Sundry Creditors,0,Dr,08RGQMP2249Z2Z8,Rajasthan,Coimbatore
Global Retail 0043,Sundry Debtors,0,Cr,23BVEYU8235B2ZT,Madhya Pradesh,Delhi
Crescent Traders 0044,Sundry Debtors,0,Cr,08JQTRW5406X5ZN,Rajasthan,Bengaluru
Vertex & Sons 0045,Sundry Debtors,39037.79,Cr,,Punjab,Lucknow
Crescent Wholesale 0046,Sundry Debtors,0,Cr,27FAXJB6009U1Z7,Maharashtra,Bengaluru
Unity Distributors 0047,Sundry Debtors,29750.96,Cr,29EDTLQ2613R6ZQ,Karnataka,Indore
Metro Industries 0048,Sundry Creditors,0,Cr,27ZURWY4252T3ZZ,Maharashtra,Mumbai
Star Distributors 0049,Sundry Debtors,0,Cr,08CEPOB6238M1ZY,Rajasthan,Delhi
Crescent Enterprises 0050,Sundry Debtors,0,Cr,,Rajasthan,Lucknow
Unity Wholesale 0051,Sundry Debtors,0,Dr,32TURKP0578G7ZN,Kerala,Mumbai
Pioneer Solutions 0052,Sundry Creditors,76781.4,Cr,08XDBWK1474R5ZW,Rajasthan,Ahmedabad
Sai Reddy 0053,Sundry Debtors,0,Cr,23DMNOL0092Z9ZM,Madhya Pradesh,Lucknow
Vivaan Mehta 0054,Sundry Creditors,0,Dr,27TINWX4173A5ZX,Maharashtra,Nagpur
Arjun Menon 0055,Sundry Debtors,0,Dr,27DQYYH2250R7ZV,Maharashtra,Kochi
Metro Solutions 0056,Sundry Debtors,0,Dr,29DDSPZ4879F7Z5,Karnataka,Hyderabad
Sunrise Trading Co 0057,Sundry Creditors,0,Dr,29ANCUD8909P5Z3,Karnataka,Kolkata
Nova Solutions 0058,Sundry Debtors,0,Dr,08AKIAQ4912P5ZN,Rajasthan,Surat
